000.000 =============================================================
000.000                     Station A                               
000.000 -------------------------------------------------------------
000.000 Protocol.lib, version 4.0, jiangyanjun0718@bupt.edu.cn
000.000 Channel: 8000 bps, 270 ms propagation delay, bit error rate 1.0E-05
000.000 Log file "long-default-A.log", TCP port 10070, debug mask 0x00
000.000 Station A is waiting for station B on TCP port 10070 ... Done.
000.413 New epoch: Wed May  6 15:52:11 2026
000.413 =================================================================
000.414 
000.414 Designed by Jiang Yanjun, build: May  6 2026  15:34:40
004.503 .... 5 packets received, 2683 bps, 33.54%, Err 1 (3.3e-05)
006.725 .... 16 packets received, 5427 bps, 67.84%, Err 1 (2.2e-05)
008.922 .... 23 packets received, 5720 bps, 71.50%, Err 1 (1.6e-05)
011.043 .... 31 packets received, 6131 bps, 76.64%, Err 1 (1.3e-05)
013.565 .... 37 packets received, 5884 bps, 73.55%, Err 1 (1.0e-05)
015.715 .... 44 packets received, 5996 bps, 74.95%, Err 1 (8.8e-06)
019.989 .... 51 packets received, 5411 bps, 67.64%, Err 2 (1.4e-05)
022.205 .... 62 packets received, 5901 bps, 73.76%, Err 2 (1.2e-05)
024.321 .... 70 packets received, 6066 bps, 75.82%, Err 2 (1.1e-05)
026.487 .... 78 packets received, 6192 bps, 77.40%, Err 2 (1.0e-05)
028.561 .... 83 packets received, 6098 bps, 76.23%, Err 3 (1.4e-05)
031.256 .... 84 packets received, 5628 bps, 70.35%, Err 3 (1.3e-05)
033.496 .... 93 packets received, 5805 bps, 72.57%, Err 3 (1.2e-05)
035.653 .... 101 packets received, 5916 bps, 73.95%, Err 3 (1.2e-05)
037.748 .... 109 packets received, 6023 bps, 75.29%, Err 3 (1.1e-05)
040.034 .... 115 packets received, 5986 bps, 74.82%, Err 4 (1.4e-05)
042.155 .... 122 packets received, 6025 bps, 75.32%, Err 4 (1.3e-05)
044.513 .... 129 packets received, 6028 bps, 75.35%, Err 4 (1.2e-05)
046.940 .... 137 packets received, 6066 bps, 75.83%, Err 5 (1.5e-05)
049.102 .... 144 packets received, 6091 bps, 76.14%, Err 5 (1.4e-05)
051.190 .... 150 packets received, 6083 bps, 76.04%, Err 5 (1.3e-05)
053.347 .... 158 packets received, 6145 bps, 76.81%, Err 5 (1.3e-05)
055.432 .... 162 packets received, 6060 bps, 75.75%, Err 5 (1.2e-05)
057.556 .... 169 packets received, 6086 bps, 76.08%, Err 5 (1.2e-05)
060.171 .... 177 packets received, 6094 bps, 76.18%, Err 5 (1.1e-05)
062.651 .... 185 packets received, 6115 bps, 76.43%, Err 5 (1.1e-05)
065.406 .... 193 packets received, 6107 bps, 76.34%, Err 5 (1.0e-05)
067.803 .... 201 packets received, 6133 bps, 76.67%, Err 5 (9.9e-06)
070.647 .... 209 packets received, 6118 bps, 76.48%, Err 5 (9.5e-06)
074.103 .... 214 packets received, 5970 bps, 74.62%, Err 6 (1.1e-05)
076.220 .... 224 packets received, 6074 bps, 75.92%, Err 6 (1.1e-05)
078.371 .... 231 packets received, 6090 bps, 76.12%, Err 6 (1.0e-05)
080.671 .... 238 packets received, 6094 bps, 76.18%, Err 6 (1.0e-05)
082.803 .... 246 packets received, 6135 bps, 76.69%, Err 6 (9.8e-06)
084.930 .... 254 packets received, 6175 bps, 77.19%, Err 6 (9.5e-06)
087.002 .... 259 packets received, 6145 bps, 76.82%, Err 7 (1.1e-05)
089.170 .... 266 packets received, 6157 bps, 76.96%, Err 7 (1.1e-05)
092.377 .... 269 packets received, 6008 bps, 75.11%, Err 8 (1.2e-05)
094.387 .... 279 packets received, 6098 bps, 76.23%, Err 8 (1.1e-05)
096.521 .... 287 packets received, 6133 bps, 76.67%, Err 8 (1.1e-05)
099.062 .... 293 packets received, 6100 bps, 76.25%, Err 8 (1.1e-05)
101.437 .... 301 packets received, 6119 bps, 76.48%, Err 8 (1.1e-05)
103.532 .... 309 packets received, 6153 bps, 76.92%, Err 8 (1.0e-05)
106.599 .... 317 packets received, 6130 bps, 76.62%, Err 8 (1.0e-05)
109.036 .... 325 packets received, 6143 bps, 76.79%, Err 8 (9.8e-06)
111.514 .... 333 packets received, 6154 bps, 76.92%, Err 8 (9.6e-06)
113.919 .... 341 packets received, 6168 bps, 77.09%, Err 8 (9.4e-06)
117.103 .... 345 packets received, 6069 bps, 75.87%, Err 9 (1.0e-05)
119.168 .... 354 packets received, 6119 bps, 76.49%, Err 9 (1.0e-05)
121.321 .... 362 packets received, 6146 bps, 76.82%, Err 9 (1.0e-05)
124.320 .... 369 packets received, 6113 bps, 76.41%, Err 9 (9.7e-06)
126.468 .... 377 packets received, 6138 bps, 76.73%, Err 9 (9.5e-06)
129.050 .... 385 packets received, 6143 bps, 76.78%, Err 9 (9.3e-06)
130.660 ** WARNING: System too busy, sleep 15 ms, but be awakened 68 ms later
131.473 .... 393 packets received, 6154 bps, 76.93%, Err 9 (9.2e-06)
133.616 .... 400 packets received, 6163 bps, 77.03%, Err 9 (9.0e-06)
137.686 .... 405 packets received, 6054 bps, 75.68%, Err 11 (1.1e-05)
139.775 .... 413 packets received, 6081 bps, 76.02%, Err 11 (1.1e-05)
141.953 .... 421 packets received, 6103 bps, 76.29%, Err 11 (1.0e-05)
144.933 .... 429 packets received, 6091 bps, 76.14%, Err 11 (1.0e-05)
147.123 .... 437 packets received, 6112 bps, 76.40%, Err 11 (1.0e-05)
150.021 .... 445 packets received, 6103 bps, 76.29%, Err 11 (9.8e-06)
152.219 .... 453 packets received, 6122 bps, 76.53%, Err 11 (9.7e-06)
153.592 ** WARNING: System too busy, sleep 15 ms, but be awakened 110 ms later
154.933 .... 461 packets received, 6121 bps, 76.51%, Err 12 (1.0e-05)
157.405 .... 469 packets received, 6129 bps, 76.61%, Err 12 (1.0e-05)
159.638 ** WARNING: System too busy, sleep 15 ms, but be awakened 78 ms later
159.802 .... 477 packets received, 6140 bps, 76.74%, Err 12 (1.0e-05)
162.217 .... 485 packets received, 6149 bps, 76.86%, Err 12 (9.9e-06)
164.636 .... 493 packets received, 6158 bps, 76.98%, Err 12 (9.7e-06)
167.063 .... 501 packets received, 6167 bps, 77.09%, Err 12 (9.6e-06)
169.492 .... 509 packets received, 6175 bps, 77.19%, Err 12 (9.4e-06)
171.885 .... 517 packets received, 6185 bps, 77.31%, Err 12 (9.3e-06)
174.307 .... 525 packets received, 6193 bps, 77.41%, Err 12 (9.1e-06)
177.782 .... 529 packets received, 6118 bps, 76.47%, Err 13 (9.7e-06)
180.052 .... 540 packets received, 6166 bps, 77.07%, Err 13 (9.6e-06)
180.709 ** WARNING: System too busy, sleep 15 ms, but be awakened 75 ms later
182.211 .... 548 packets received, 6183 bps, 77.28%, Err 13 (9.5e-06)
184.366 .... 553 packets received, 6166 bps, 77.07%, Err 13 (9.4e-06)
186.499 .... 561 packets received, 6183 bps, 77.29%, Err 13 (9.3e-06)
189.221 .... 569 packets received, 6181 bps, 77.26%, Err 13 (9.1e-06)
191.653 .... 577 packets received, 6188 bps, 77.35%, Err 13 (9.0e-06)
194.133 .... 585 packets received, 6193 bps, 77.42%, Err 13 (8.9e-06)
196.512 .... 593 packets received, 6202 bps, 77.52%, Err 13 (8.8e-06)
198.931 .... 601 packets received, 6209 bps, 77.61%, Err 13 (8.7e-06)
201.349 .... 609 packets received, 6216 bps, 77.69%, Err 13 (8.5e-06)
203.782 .... 617 packets received, 6222 bps, 77.77%, Err 13 (8.4e-06)
206.181 .... 625 packets received, 6229 bps, 77.86%, Err 13 (8.3e-06)
209.683 .... 629 packets received, 6164 bps, 77.05%, Err 15 (9.5e-06)
212.680 .... 635 packets received, 6135 bps, 76.68%, Err 15 (9.3e-06)
214.966 .... 646 packets received, 6174 bps, 77.18%, Err 15 (9.2e-06)
217.134 .... 653 packets received, 6179 bps, 77.23%, Err 15 (9.1e-06)
219.269 .... 661 packets received, 6193 bps, 77.42%, Err 15 (9.0e-06)
221.984 .... 667 packets received, 6173 bps, 77.16%, Err 15 (8.9e-06)
224.953 .... 670 packets received, 6118 bps, 76.48%, Err 16 (9.4e-06)
229.304 .... 678 packets received, 6074 bps, 75.92%, Err 18 (1.0e-05)
231.400 .... 688 packets received, 6107 bps, 76.34%, Err 18 (1.0e-05)
234.329 .... 695 packets received, 6092 bps, 76.15%, Err 18 (1.0e-05)
236.465 .... 703 packets received, 6106 bps, 76.33%, Err 18 (1.0e-05)
238.548 .... 711 packets received, 6122 bps, 76.52%, Err 18 (1.0e-05)
241.614 .... 719 packets received, 6112 bps, 76.40%, Err 18 (9.9e-06)
243.745 .... 726 packets received, 6117 bps, 76.47%, Err 18 (9.8e-06)
245.850 .... 733 packets received, 6123 bps, 76.54%, Err 18 (9.7e-06)
247.963 .... 741 packets received, 6137 bps, 76.71%, Err 18 (9.7e-06)
251.473 .... 744 packets received, 6076 bps, 75.95%, Err 19 (1.0e-05)
253.697 .... 752 packets received, 6087 bps, 76.09%, Err 20 (1.0e-05)
256.083 .... 760 packets received, 6094 bps, 76.18%, Err 20 (1.0e-05)
258.457 .... 768 packets received, 6102 bps, 76.27%, Err 20 (1.0e-05)
260.863 .... 776 packets received, 6108 bps, 76.35%, Err 20 (1.0e-05)
263.817 .... 778 packets received, 6055 bps, 75.69%, Err 21 (1.1e-05)
266.050 .... 786 packets received, 6066 bps, 75.83%, Err 21 (1.1e-05)
268.208 .... 794 packets received, 6078 bps, 75.98%, Err 21 (1.0e-05)
270.866 .... 802 packets received, 6079 bps, 75.99%, Err 21 (1.0e-05)
272.983 .... 809 packets received, 6085 bps, 76.06%, Err 21 (1.0e-05)
275.124 .... 816 packets received, 6089 bps, 76.12%, Err 21 (1.0e-05)
277.131 .... 822 packets received, 6090 bps, 76.12%, Err 21 (1.0e-05)
279.282 .... 829 packets received, 6094 bps, 76.18%, Err 21 (1.0e-05)
281.381 .... 835 packets received, 6092 bps, 76.15%, Err 21 (9.9e-06)
284.070 .... 836 packets received, 6042 bps, 75.52%, Err 23 (1.1e-05)
287.075 .... 844 packets received, 6036 bps, 75.44%, Err 23 (1.1e-05)
289.229 .... 852 packets received, 6047 bps, 75.59%, Err 23 (1.1e-05)
293.249 .... 859 packets received, 6013 bps, 75.16%, Err 25 (1.1e-05)
296.512 .... 866 packets received, 5995 bps, 74.94%, Err 25 (1.1e-05)
300.365 .... 874 packets received, 5973 bps, 74.66%, Err 25 (1.1e-05)
302.478 .... 882 packets received, 5985 bps, 74.82%, Err 25 (1.1e-05)
304.917 .... 890 packets received, 5991 bps, 74.89%, Err 25 (1.1e-05)
307.672 .... 898 packets received, 5991 bps, 74.89%, Err 25 (1.1e-05)
309.812 .... 906 packets received, 6002 bps, 75.03%, Err 25 (1.1e-05)
312.525 .... 914 packets received, 6003 bps, 75.03%, Err 25 (1.1e-05)
314.911 .... 922 packets received, 6009 bps, 75.12%, Err 25 (1.1e-05)
317.541 .... 930 packets received, 6011 bps, 75.14%, Err 25 (1.0e-05)
319.926 .... 938 packets received, 6018 bps, 75.22%, Err 25 (1.0e-05)
322.495 .... 946 packets received, 6020 bps, 75.25%, Err 25 (1.0e-05)
324.898 .... 954 packets received, 6026 bps, 75.33%, Err 25 (1.0e-05)
327.295 .... 962 packets received, 6032 bps, 75.40%, Err 25 (1.0e-05)
329.798 .... 970 packets received, 6036 bps, 75.45%, Err 25 (1.0e-05)
331.950 .... 978 packets received, 6046 bps, 75.58%, Err 25 (1.0e-05)
334.856 .... 986 packets received, 6043 bps, 75.54%, Err 25 (9.9e-06)
337.059 .... 994 packets received, 6052 bps, 75.65%, Err 25 (9.8e-06)
339.746 .... 1002 packets received, 6052 bps, 75.65%, Err 25 (9.8e-06)
342.152 .... 1010 packets received, 6058 bps, 75.72%, Err 25 (9.7e-06)
346.529 .... 1017 packets received, 6022 bps, 75.28%, Err 26 (9.9e-06)
